meanImp,medianImp,minImp,maxImp,normHits,decision,Feature
26.00399207,26.10502681,23.68531654,26.90214085,1,Confirmed,LTD
17.56775258,17.64806357,16.65730747,18.29929386,1,Confirmed,WPTB
16.50072145,16.38785973,15.56086957,17.91328205,1,Confirmed,WPRMF
16.13576671,15.90910228,15.58987483,17.32349564,1,Confirmed,L_NightRespArea
15.57291705,15.64842006,14.76902653,16.49178701,1,Confirmed,L_Aarea
15.13798152,15.02049209,14.27336359,16.39420937,1,Confirmed,FTFM
14.50928549,14.52970623,12.84087233,15.84907137,1,Confirmed,LA
14.45137794,14.29348052,13.23926505,15.79308806,1,Confirmed,L_LaminaT
14.28163798,14.13986724,13.0911482,15.8783048,1,Confirmed,FDFM
13.84546104,14.19456289,12.72426181,14.63373756,1,Confirmed,L_LipidC
13.42818837,13.51102127,12.64531283,14.28183878,1,Confirmed,FTDM
12.44365979,12.55607355,11.30358193,13.60694386,1,Confirmed,FRDM
11.67734502,11.58544566,11.1986233,12.23716373,1,Confirmed,FDDM
10.82263549,10.89008548,9.979800558,11.97791967,1,Confirmed,FDA
10.56074909,10.33953208,9.930571751,11.60699327,1,Confirmed,FRFM
