meanImp,medianImp,minImp,maxImp,normHits,decision,Feature
16.26070537,16.12347816,15.47888855,17.20590668,1,Confirmed,L_Circ
14.03360274,13.89067762,12.47276855,15.46608485,1,Confirmed,LTD
13.4966431,13.50997327,12.64869619,14.37755144,1,Confirmed,WPFB
12.92711152,12.99895775,12.13928457,13.43067644,1,Confirmed,LA
11.41623873,11.44851575,10.28778582,12.37495814,1,Confirmed,WPFF
10.78881166,10.80831219,9.657398083,11.59882993,1,Confirmed,L_DryMass
10.70602187,10.66806043,10.25966343,11.36369094,1,Confirmed,L_FreshMass
10.47637107,10.5605395,9.651733694,11.29250147,1,Confirmed,LDMC
10.45820667,10.55008674,9.441298121,11.13551302,1,Confirmed,WPTB
10.30628875,10.22984355,9.356898424,11.29423869,1,Confirmed,LWC
9.553942605,9.43108637,8.974859792,10.72814222,1,Confirmed,LC
9.206746007,9.260162866,8.417173331,10.00497292,1,Confirmed,LS
8.635501184,8.78284324,7.722056111,9.839015774,1,Confirmed,FDFM
8.578515593,8.58527651,7.585537273,9.377984262,1,Confirmed,FRFM
8.441224196,8.19697523,7.812166622,9.679880121,1,Confirmed,FRN
8.415128738,8.516489452,7.530046737,9.103744663,1,Confirmed,LD13C
8.360747107,8.234818529,7.943960195,9.283081304,1,Confirmed,FRWC
8.158405962,8.223155019,6.8151339,9.246516096,1,Confirmed,FPFM
8.107044935,8.171060506,6.895563824,9.288220794,1,Confirmed,P_T
8.021415044,8.115701858,7.070831361,8.937201037,1,Confirmed,WPLMF
7.913789239,7.850446985,7.001030318,8.579949668,1,Confirmed,LN
7.84253064,7.845416745,7.09277971,8.426138309,1,Confirmed,FRW
7.766731942,7.883623336,6.701619378,8.992626332,1,Confirmed,FTFM
7.569467635,7.418073916,7.057625793,8.184778029,1,Confirmed,FPD
7.353268873,7.471664526,6.643207696,7.991737042,1,Confirmed,FDDM
7.321206084,7.506151098,5.894495431,8.249943907,1,Confirmed,P_D
7.206581914,7.110148432,6.252667845,8.262886069,1,Confirmed,FTDM
7.157857362,7.182400907,6.023350166,8.647672016,1,Confirmed,L_Peri
6.956194948,6.903985171,6.300521235,7.789230593,1,Confirmed,FPAF
6.835926181,6.874153548,5.981551816,7.498733301,1,Confirmed,FRL
6.675678799,6.672641842,5.927115711,7.850008991,1,Confirmed,FDAF
6.673893245,6.759456909,5.923885849,7.400381603,1,Confirmed,L_NightRespArea
6.53275991,6.465444211,5.758254304,7.188318953,1,Confirmed,L_LipidC
6.512390874,6.704228897,5.723267484,7.148709584,1,Confirmed,FTWC
6.453499765,6.342498734,5.722503763,7.581419709,1,Confirmed,FRDM
6.13483116,6.206255036,5.357709162,6.687472827,1,Confirmed,FTD
6.043646578,6.122638643,5.222518342,7.126392278,1,Confirmed,FTC
5.974483044,5.899741735,5.098249085,7.16790138,1,Confirmed,LCN
5.972318972,6.08160029,4.749837775,6.898344016,1,Confirmed,FPDM
5.928897453,5.736166618,5.29822394,7.038420109,1,Confirmed,FDD
5.910544593,5.945853859,4.801040865,6.612746671,1,Confirmed,L_LaminaT
5.859138154,5.91389451,4.448199908,7.039677485,1,Confirmed,WPBMF
5.852721454,5.880369551,4.856246214,6.499401761,1,Confirmed,LPNUE
5.823788747,5.844282029,5.086117689,6.530935088,1,Confirmed,FTA
5.758654913,5.705690155,5.06644898,6.495355209,1,Confirmed,FDA
5.738016682,5.720283874,4.959606314,6.521299015,1,Confirmed,FPA
5.685967632,5.53653593,4.977640119,6.853443815,1,Confirmed,FDC
5.53743184,5.446975497,4.958853508,6.29545731,1,Confirmed,R_T
5.460699212,5.360994632,4.543084566,6.312323018,1,Confirmed,L_T_activity
5.369635699,5.31557833,4.883519231,6.302622006,1,Confirmed,L_iWUE
5.318463292,5.2533666,4.537892226,6.011733953,1,Confirmed,L_MidribT
5.051471847,5.099676628,4.293566058,6.019795376,1,Confirmed,FAIR
4.963061507,4.79170735,3.590589635,5.831419922,1,Confirmed,WPRMF
4.389005212,4.255782728,3.647849886,5.282785347,1,Confirmed,D_T
