Features,Overall
LTD,7.629030634
FTFM,3.886185019
LA,3.866476847
WPRMF,3.569291117
FDFM,3.481195928
FTDM,3.452543441
WPTB,3.387046831
L_LipidC,2.967032523
L_Aarea,2.774385201
FDDM,2.600753413
FRW,2.575925773
SPAD,2.571185247
P_T,2.502797466
L_NightRespArea,2.498449571
FPFM,2.411845409
FRDM,2.403953939
L_LaminaT,2.151542948
FPA,2.101404266
FPAF,2.095705032
FRFM,2.077643105
L_Peri,1.974459068
FDAF,1.961015891
FAIR,1.923872151
FTD,1.867377447
FDC,1.806194687
FPDM,1.797029157
FTA,1.724839082
L_DryMass,1.660291762
P_D,1.601534528
FDD,1.580937298
LD13C,1.578032508
FDA,1.542925216
L_Ci,1.533434081
FTC,1.505391081
L_Tough,1.480914945
L_Circ,1.196243795
LMA,1.192253719
L_NightRespmass,1.190112168
FRN,1.177911266
WPBMF,1.097657671
FPWC,1.058612129
LS,1.052059507
WPFF,1.028299157
L_FreshMass,1.021179583
FRL,0.979036524
FTWC,0.973460947
L_Con,0.953366307
L_life,0.946862088
L_iWUE,0.926893022
WPSMF,0.849400526
WPLMF,0.748968919
LPNUE,0.730302978
L_MidribT,0.717091692
FRWC,0.710336772
L_VeinD,0.695836959
FDWC,0.676906492
L_AshC,0.664023386
WPFB,0.652109711
FPD,0.632177072
L_T_activity,0.628984139
LC,0.620148197
L_Amass,0.530473119
LD15C,0.518314069
D_T,0.477990579
LCN,0.436516921
Leaf_N_P,0.424399935
LN,0.383725301
LDMC,0.361676395
R_T,0.346583523
LP,0.345674751
LWC,0.334679837
