"Features","Overall"
"SPAD",7.89302176525844
"L_Aarea",7.74384886223957
"L_Amass",3.15767935544142
"L_Con",5.30124966752954
"L_Ci",3.02085817800074
"L_iWUE",3.46176569094618
"L_NightRespArea",5.50104531132316
"L_NightRespmass",4.75088502897184
"LA",16.4105589759342
"L_Peri",7.24177252690845
"L_Circ",19.1572481198489
"LS",7.79064364257929
"LMA",5.53247529868684
"L_FreshMass",13.0085830298931
"L_DryMass",12.2007057388925
"LWC",8.37704100995775
"LDMC",9.27680960966321
"L_MidribT",5.27902677949626
"L_LaminaT",9.42136117020896
"L_Tough",7.00024105565514
"L_life",10.3023420940904
"LN",4.79244005913335
"LD15C",3.47169610626165
"LPNUE",2.87752298648223
"LC",4.91787852782795
"LD13C",9.20920881757442
"LCN",3.31250003575386
"LP",2.76001148087522
"Leaf_N_P",2.85004279979272
"L_VeinD",3.10133246750629
"L_T_activity",4.47052248968531
"LTD",21.0704296614694
"L_LipidC",7.99174894303388
"L_AshC",2.97799951349948
"WPTB",7.58950728061045
"WPBMF",8.3275846608506
"WPSMF",10.9963065281761
"WPLMF",4.65508211760264
"WPRMF",6.68554303838895
"WPFB",12.4145881400635
"WPFF",13.0509306310324
"FPFM",9.03288827793461
"FDFM",8.80875691520978
"FRFM",9.88667558224669
"FTFM",8.50592057199996
"FPDM",5.81697831272198
"FDDM",6.81924070398192
"FRDM",9.29183584197601
"FTDM",10.0203488940999
"FPWC",3.02757720572215
"FDWC",2.51283789169228
"FRWC",4.00256671506173
"FTWC",2.84729971299371
"P_D",6.78556874625759
"P_T",8.30845601537973
"D_T",3.31671823041691
"R_T",3.9324853981109
"FRL",4.41278399824011
"FRW",7.17421703586946
"FDD",5.01588871513415
"FDC",5.5659110659422
"FTD",4.78661341918416
"FTC",4.28588188921805
"FTA",4.58285380438271
"FDA",5.20254048954133
"FPA",4.19499996172574
"FRN",9.18248124618218
"FPD",4.71883607605959
"FAIR",6.1388693952379
"FPAF",6.95478240703486
"FDAF",7.42852640025464
