"Features","Overall"
"SPAD",0.68139700630545
"L_Aarea",2.81136128961202
"L_Amass",0.350199752180984
"L_Con",1.5697236286269
"L_Ci",0.631454233251177
"L_iWUE",0.635232349327241
"L_NightRespArea",1.09542648049252
"L_NightRespmass",1.74452012749837
"LA",3.833435211807
"L_Peri",2.22679764060158
"L_Circ",4.15924697255148
"LS",1.27908757846576
"LMA",1.28554738096224
"L_FreshMass",3.06200062252693
"L_DryMass",3.30923401815747
"LWC",1.39555916666933
"LDMC",1.81893540042886
"L_MidribT",1.06546236469453
"L_LaminaT",2.52897499581917
"L_Tough",2.73463090041062
"L_life",0.925621590471329
"LN",0.769868576502835
"LD15C",1.09845401447342
"LPNUE",0.519354275511107
"LC",1.10506325942667
"LD13C",4.66927002257841
"LCN",0.682769914988097
"LP",0.88986073232981
"Leaf_N_P",1.35872230380505
"L_VeinD",1.53977277477463
"L_T_activity",1.37002217045402
"LTD",1.13786659582944
"L_LipidC",1.74329430560931
"L_AshC",1.27997882807722
"WPTB",1.05098321343485
"WPBMF",2.09404527611259
"WPSMF",2.39596629454439
"WPLMF",0.683882339521484
"WPRMF",0.514973316022331
"WPFB",3.15448452376347
"WPFF",4.09202681092057
"FPFM",2.45328309068816
"FDFM",2.32366622856747
"FRFM",3.93280293360633
"FTFM",1.97150673047961
"FPDM",1.29859535582116
"FDDM",1.97212642083691
"FRDM",2.36679119447847
"FTDM",2.15815850499334
"FPWC",1.2472562369117
"FDWC",0.982092437331859
"FRWC",0.448323875424724
"FTWC",0.651979350610723
"P_D",0.406570677465433
"P_T",0.388220202974259
"D_T",0.427457227065384
"R_T",0.764247020232328
"FRL",0.698108487760865
"FRW",0.608595178320053
"FDD",1.24853008827965
"FDC",1.18013559268712
"FTD",0.938855193477798
"FTC",1.05305511513303
"FTA",0.960246168117853
"FDA",1.24876579655719
"FPA",1.06295411255065
"FRN",2.61483263085307
"FPD",1.44051638112423
"FAIR",0.718851518237308
"FPAF",0.788790033249701
"FDAF",0.643959206622963
