Features,Overall
L_Circ,10.14474129
LTD,6.783574501
WPFB,5.986799127
LA,5.948744052
LS,4.42686982
L_DryMass,4.424718939
L_FreshMass,3.90355545
LWC,3.663009195
LDMC,3.60578717
FPAF,3.538989778
WPTB,3.463598854
WPFF,3.397136646
FPD,3.388789542
FRN,3.155696498
LC,2.966786796
FRW,2.425854041
FPFM,2.372424404
P_T,2.3634431
FRL,2.295374367
FRWC,2.289657079
LD13C,2.221042618
FDFM,2.161889421
WPLMF,2.159966996
P_D,2.15345234
FTFM,2.134825424
FDAF,2.113409993
FRFM,2.094980475
FDDM,1.983819469
FTC,1.91532761
FTD,1.778334665
FPDM,1.746002908
FPA,1.737967562
FDC,1.701716837
LN,1.697122851
FTDM,1.684493907
L_Peri,1.672863812
L_NightRespArea,1.54880009
FAIR,1.474474357
FTA,1.427541348
FDA,1.423987811
L_LipidC,1.332623999
R_T,1.290808859
LPNUE,1.262671438
FDD,1.260924947
WPBMF,1.260376808
LCN,1.235049401
FRDM,1.199471015
L_LaminaT,1.083607985
L_AshC,1.082212314
SPAD,1.073901605
FTWC,1.070279914
L_T_activity,1.030332807
WPRMF,1.021121172
L_MidribT,0.959035337
WPSMF,0.864343162
L_NightRespmass,0.795322911
L_iWUE,0.785533254
LMA,0.784739702
L_life,0.764912619
L_VeinD,0.755134204
D_T,0.728805363
L_Ci,0.718335418
FPWC,0.713862752
LD15C,0.678625104
LP,0.617889169
FDWC,0.596011848
L_Aarea,0.501214916
L_Amass,0.495448804
L_Con,0.417612113
Leaf_N_P,0.396455425
L_Tough,0.36548047
