"Features","Overall"
"LTD",8.95515048341815
"LA",6.73286303991955
"FTFM",4.95005047011843
"FDFM",4.9451563277678
"WPTB",4.92595641581652
"L_DryMass",4.63065710176504
"FTDM",4.61433115858413
"FRFM",4.14238609865578
"FDDM",4.116769063453
"L_LipidC",4.10852058616799
"FDAF",3.96257322689372
"FPAF",3.92703607208125
"L_NightRespArea",3.87052976641987
"L_LaminaT",3.7546817901354
"L_Peri",3.56012236195104
"WPRMF",3.49174251893347
"FRDM",3.39722515702825
"FTC",3.28490964684557
"FTA",3.26369085684112
"FTD",3.14449846173457
"L_FreshMass",3.07559029519574
"FPFM",2.96431935911461
"FDA",2.89925248577966
"FPA",2.85051373120207
"L_Aarea",2.79384052741687
"FDD",2.78152460879817
"FDC",2.72753573296413
"L_Tough",2.50292498271266
"FAIR",2.48562411960105
"FPDM",2.43382131498049
"L_Circ",2.3711013419752
"FRW",2.28637135655362
"P_T",2.25015147397152
"SPAD",2.16223740341567
"FRL",2.14961191751864
"L_Ci",2.03251491531822
"WPLMF",1.96858700097265
"WPBMF",1.96550001828584
"P_D",1.90887929378063
"WPFB",1.88671765349185
"L_life",1.81760415994521
"L_T_activity",1.78465464244149
"L_NightRespmass",1.76271827766288
"LD13C",1.74031694814326
"WPFF",1.59625245981893
"LMA",1.58460744922569
"LC",1.5697820219389
"L_MidribT",1.48624020645217
"L_iWUE",1.46348669699867
"LS",1.4487194979415
"FTWC",1.43303448887873
"L_Con",1.41788431955597
"FRN",1.37900136043221
"FDWC",1.26040067820769
"FPWC",1.25453674418725
"L_AshC",1.1683012153838
