"Features","Overall"
"L_Circ",8.56842209014784
"LTD",6.81985313945208
"WPFF",6.29046152775909
"LA",6.24324247393687
"WPFB",5.65312455750932
"FRFM",5.59218787841041
"L_FreshMass",5.58150812522456
"L_DryMass",5.0852427854007
"FTFM",4.77682801653799
"FDFM",4.56902998718185
"LWC",4.39698398420504
"LDMC",4.37592803691627
"FTDM",4.35713212274487
"WPBMF",4.14501114796506
"FDDM",4.04350095884711
"FDA",4.00013279170284
"LD13C",3.97356812393029
"FDC",3.92130817843159
"L_life",3.89015199161462
"FDAF",3.76540319766974
"FDD",3.73871285142967
"FRDM",3.72315079448451
"FRN",3.69460498121116
"LS",3.68616107453653
"FPAF",3.64180302181347
"L_LaminaT",3.4838622240148
"WPRMF",3.44036314394183
"WPSMF",3.43549781646057
"L_Tough",3.3642637879355
"FAIR",3.31626722864627
"FPFM",3.24748239299343
"L_Peri",3.18052328268837
"FPDM",3.18042203796918
"WPTB",3.16934758677869
"L_Aarea",3.0989402035257
"FRW",2.79023731837771
"L_LipidC",2.7723201221834
"P_T",2.72616420347465
"FRL",2.64061839769776
"L_Con",2.64031108368867
"FPD",2.60041845906701
"FTD",2.57540441004556
"SPAD",2.54841805720866
"FPA",2.53003228491271
"P_D",2.51600230563092
"FTA",2.50610029488061
"LC",2.49925828760109
"FTC",2.46536996227224
"LN",2.37587677020039
"LCN",2.35754226966605
"L_T_activity",2.35500608706837
"FRWC",2.29008872583967
"WPLMF",2.28683000464458
