"Features","Overall"
"LD13C",6.3959748646339
"L_Circ",5.3658515114293
"LA",4.94784727481084
"L_Aarea",4.46816262289118
"WPFF",4.34698889478157
"FRN",4.15868672365133
"FRFM",3.86675200454857
"L_DryMass",3.80989880688352
"WPFB",3.77276336910229
"FRDM",3.63323329897723
"FPFM",3.52844804192416
"FTDM",3.44941421941719
"L_VeinD",3.36106060683145
"FDFM",3.28357679588219
"L_Con",3.26406688341957
"FTFM",3.19470746191561
"LWC",3.18890948571428
"FDDM",3.1839062626736
"LDMC",3.11578413590977
"L_FreshMass",3.07231855552931
"L_Peri",3.04387809312749
"L_LaminaT",3.00022966304935
"L_LipidC",2.93550733409475
"FPDM",2.74177642745993
"L_Tough",2.56538139921843
"FPD",2.45772103541506
"FPWC",2.36700436107466
"WPSMF",2.18085498163979
"FTA",2.1209078428043
"L_MidribT",2.06383521352915
"WPBMF",2.04297445396346
"FDC",2.0369141581373
"FPA",2.0147569809692
"LS",1.96765847677134
"FTC",1.94821035954242
"FRL",1.94557274824068
"L_AshC",1.89938765285461
"WPTB",1.88459609149574
"L_NightRespArea",1.83289664915475
"FTD",1.81393756121401
"R_T",1.77968479855604
"FDD",1.76822377959336
"FDA",1.68653834869243
"LMA",1.67096851996173
"L_NightRespmass",1.64554445371337
"LTD",1.61665019413258
"Leaf_N_P",1.60974135951062
"LC",1.58188045988643
"LD15N",1.55595081335422
"FDWC",1.53278561688781
"FAIR",1.53167169637058
"LP",1.50464348691085
"D_T",1.49636263935997
