"Features","Overall"
"L_Circ",10.3672743043889
"LTD",7.89324706146061
"LA",6.33600203764203
"LDMC",5.83224887070832
"LWC",5.56727246443476
"LS",5.20391488162011
"WPFB",5.13447600751142
"LC",4.58843025984853
"FPFM",4.41527675693289
"FPAF",4.37485894308816
"FDAF",4.3575792837108
"L_DryMass",4.25745315248704
"FPD",4.22956188507783
"WPFF",4.22018752079181
"L_FreshMass",4.05764440146516
"LD13C",3.91091980460792
"WPTB",3.90192960439314
"FRN",3.78607079518581
"FRWC",3.72657233872871
"FRW",3.6622513122917
"FPDM",3.57779674815254
"WPLMF",3.33037095426193
"FTD",3.32900085196402
"FPA",3.3121162696575
"FTC",3.25478111773683
"FAIR",3.24251115086966
"FRL",3.21633191944121
"P_T",3.03884562970147
"FTA",3.02811927418084
"L_MidribT",2.98723096399551
"P_D",2.81752260295968
"FRFM",2.79699276605727
"L_LaminaT",2.75577908445159
"FDFM",2.74836954374375
"LN",2.73755697741439
"WPRMF",2.54216383705074
"FRDM",2.51832818745884
"FDA",2.45483313179527
"R_T",2.44671658443064
"FDDM",2.37684194747241
"FTFM",2.33285045423887
"L_T_activity",2.29794437366138
"FTDM",2.26310050107786
"FDD",2.24279329118024
"FTWC",2.20535938667106
"L_Peri",2.13814253008513
"L_NightRespArea",2.12606457630924
"FDC",2.0464545128554
"WPSMF",1.96193087487734
"WPBMF",1.77769910798392
"LCN",1.75910243241811
"L_AshC",1.75491188539314
"L_LipidC",1.70333829387351
"LMA",1.62049578181553
"L_iWUE",1.50133709385806
"LPNUE",1.48823499987726
"LD15N",1.44985935585219
"SPAD",1.42994388036555
"L_NightRespmass",1.41160602400788
"D_T",1.32274819765661
"L_Ci",1.27236530927247
"LP",1.25038814256352
"FDWC",1.20745006616382
"FPWC",1.08985196348551
"L_VeinD",1.06534046512995
"L_Aarea",1.05926922052346
"L_Con",1.02671217288488
