"Pop","Species","SPAD","L_Aarea","L_Amass","L_Con","L_Ci","L_iWUE","L_NightRespArea","L_NightRespmass","LA","L_Peri","L_Circ","LS","LMA","L_FreshMass","L_DryMass","LWC","LDMC","L_MidribT","L_LaminaT","L_Tough","L_life","LN","LD15C","LPNUE","LC","LD13C","LCN","LP","Leaf_N_P","L_VeinD","L_T_activity","LTD","L_LipidC","L_AshC","WPTB","WPBMF","WPSMF","WPLMF","WPRMF","WPFB","WPFF","FPFM","FDFM","FRFM","FTFM","FPDM","FDDM","FRDM","FTDM","FPWC","FDWC","FRWC","FTWC","P_D","P_T","D_T","R_T","FRL","FRW","FDD","FDC","FTD","FTC","FTA","FDA","FPA","FRN","FPD","FAIR","FPAF","FDAF"
"GLA","H_agrestis",44.3,31.7614719328044,717.266433251981,2.05017685484898,352.534382147413,15.4920644322384,-1.24149351013683,-28.0365350763737,62.103,51.381,0.296,0.92,44.2812746566188,2.1773,0.275,6.91745454545454,0.126303219583888,1.27,0.35,146.422671322483,78,3.81,0.01,18825.8906365349,39.36,-30.7,10.3307086614173,0.288,13.2291666666667,6.471734143,0.307246443064584,35,3.696498054,20.2811244979913,210.2183,0.0561021566628595,0.766035116828554,0.131862925349506,0.0459998011590808,260,293,0.276390110261558,0.403913435003939,0.158498692129707,0.838802237395203,0.0404375229559512,0.0840490916597799,0.0246004464663278,0.1490394227512,5.83305550045545,3.74278153344603,5.40250144668879,4.58025181390952,0.504860798594401,0.278021899991748,0.560627604815275,0.161350493856418,2.71316607103958,0.98173543680228,1.32595967083493,4.16562516085137,6.7522918129141,21.2129503543455,36.464042395668,1.41920065483878,35.0448417408292,12.7303964293574,3.10904463111495,26.4851442516615,0.959709305118945,0.0402906935498871
"GLA","H_agrestis",33.9,27.415575705898,641.015412729737,1.83190877150057,356.397471432519,14.9655791447743,-0.988281362676759,-23.1074332483583,41.806,39.206,0.342,0.935,42.7689805291107,1.2935,0.1788,6.23434004474273,0.138229609586393,1.06,0.33,157.033009824112,75,3.33,2.19,19249.7120939861,40.15,-31.05,12.0570570570571,0.2622,12.7002288329519,7.384277569,0.209613625755427,40,4.238921002,20.359281437126,223.7688,0.0278805624376589,0.773432221113935,0.151540339850775,0.0471468765976311,260,296,0.2905,0.299,0.10665,0.69615,0.0432,0.0756,0.02085,0.13965,5.72453703703704,2.95502645502645,4.11510791366906,3.98496240601504,0.571428571428572,0.309344790547798,0.541353383458647,0.149301825993555,2.85,1.1,1.2,3.76991118430775,6.9,21.6769893097696,37.3928065593525,1.13097335529233,36.2618332040602,13,3.4483571003244,32.0625,0.969754253308128,0.0302457466918715
"GLA","H_agrestis",40.4,28.583700349434,596.88245008065,1.65176648386966,349.344560483375,17.3049281654328,-0.997101931848696,-20.8213994964366,36.606,38.49,0.311,0.893,47.8883243184177,1.249,0.1753,6.124928693668,0.14035228182546,0.89,0.35,148.544739022809,127,3.29,1.88,18142.3237106581,38.81,-30.57,11.7963525835866,0.2479,13.2714804356595,6.556163398,0.426646910491196,37,2.857142857,23.2600732600741,444.3504,0.0393891847514934,0.86321740680328,0.0595917096057526,0.0378016988394744,267,307,0.2145,0.3205,0.1255,0.6605,0.03495,0.08145,0.02325,0.13965,5.13733905579399,2.93492940454266,4.39784946236559,3.7296813462227,0.429097605893186,0.250268528464017,0.583243823845328,0.166487647690655,2.25,0.85,1.45,4.5553093477052,5.95,18.6924762888593,27.8050584796782,1.65129963854314,26.153758841135,13,2.85381277268226,15.8382877526754,0.94061153873314,0.0593884612668597
"GLA","H_agrestis",42.6,31.3410645748927,594.6749126977,1.65939868184984,347.366936122952,18.8870010068676,-1.16218390423261,-25.794143771359,53.906,47.876,0.296,0.905,52.7028531146811,1.8486,0.2841,5.50686378035903,0.153683868873742,1.16,0.38,150.666806723135,104.5,2.81,1.69,21162.808281057,37.92,-30.81,13.4946619217082,0.2761,10.17747193046,4.25559579,1.28232345240003,33,3.392857143,21.9315895372224,207.5036,0.0384658386649677,0.779754182578037,0.124768919671755,0.05701105908524,267,313,0.258118988650488,0.361608116489801,0.138528588579231,0.758255693719521,0.037893207366962,0.0782777650124239,0.0222781565735635,0.138393484449426,5.85699899363404,3.58951186976119,5.16501774623031,4.45982095504969,0.50766858646187,0.279762566780942,0.562766562195129,0.157470869963748,2.63736760541812,0.961164349874898,1.28963841518612,4.0515185709359,6.56437362602236,20.6225879589304,34.2980699299991,1.34435987244439,32.9537100575547,12.7339388350487,3.19143147435613,26.5328184038594,0.959893199355277,0.0401067995872124
"GLA","H_agrestis",36,29.653852311981,604.262271234491,1.26476651291162,339.026769942271,23.4461080438593,-1.1325486707456,-25.8636190728481,34.845,37.772,0.307,0.89,49.0744726646578,1.0558,0.171,5.17426900584795,0.161962492896382,0.95,0.34,174.009551426719,110,3.19,1.38,18942.3909477897,40.56,-30.97,12.7147335423198,0.3124,10.2112676056338,7.60011295,2.0847800282626,27,6.954887218,17.8700361010816,226.9455,0.052180369295712,0.756848670716097,0.138491399917601,0.0524795600705896,264,299,0.267698176816615,0.361462944094133,0.13644420074725,0.765605321657999,0.0392435924236167,0.079259826664002,0.0226932150958892,0.141196634183508,5.83606777887021,3.54160332933474,5.04758572892643,4.41458547658406,0.516071994476245,0.283105239546896,0.559613272730685,0.157281486604307,2.68848317727476,0.968603264179726,1.28264703947151,4.02955451635239,6.65961339402103,20.9217925144046,35.3956164021763,1.32583214894214,34.0697842532341,12.7305701706358,3.20359485805547,27.3029355740659,0.961618953095456,0.0383810457864314
"GLA","H_agrestis",33.5,26.4390474099894,504.773693237962,1.37578270223853,346.235704367613,19.2174588086988,-1.16248027820907,-26.2463629928625,47.119,41.487,0.344,0.917,52.3780216048728,1.549,0.2468,5.27633711507293,0.159328599096191,1.44,0.33,188.864025329,118.5,2.81,1.59,17963.4766276855,40.82,-30.8,14.5266903914591,0.255,11.0196078431373,7.554628712,1.78596006051483,53,3.639514731,17.7777777777776,397.7761,0.037831081354561,0.814875001288413,0.11561780609745,0.0316761112595754,267,313,0.25785,0.2555,0.1072,0.62055,0.0388,0.05075,0.01935,0.1089,5.64561855670103,4.03448275862069,4.54005167958656,4.69834710743802,0.764532019704434,0.356290174471993,0.466023875114784,0.177685950413223,2.55,0.95,1.15,3.61283155162826,6.25,19.6349540849362,30.6796157577128,1.03868907109313,29.6409266866197,13,3.59828566990372,28.5368620037807,0.966144,0.033856
"HEN","H_agrestis",31.6,30.4086844357518,633.16141569336,1.87742289657121,351.411739582805,16.1970350373845,-1.02333993484266,-21.3077077783325,39.478,38.422,0.336,0.926,48.0267490754344,1.2674,0.1896,5.68459915611814,0.14959760138867,1.01,0.32,169.765416026067,112,2.83,2.1,22373.1949008254,40.6,-30.52,14.3462897526502,0.2797,10.1179835538077,8.097197129,2.40435714889458,30,5.688073394,20.1596806387232,187.1546,0.0541306492065918,0.783843945059325,0.111532390868298,0.0504930148657848,260,296,0.22805,0.35735,0.14035,0.72575,0.0364,0.08585,0.0229,0.14515,5.26510989010989,3.16249271986022,5.12882096069869,4,0.423995340710542,0.250775060282466,0.591457113331037,0.157767826386497,2.6,0.85,1.25,3.92699081698724,6.45,20.2632726156542,32.6745270927423,1.22718463030851,31.4473424624338,13,3.31042281631142,25.6256,0.962442160927829,0.0375578390721711
"HEN","H_agrestis",33.7,31.1402226217538,597.488801409402,2.30196447574944,356.607889991032,13.5276729722841,-1.09891350450016,-21.0849010500564,39.391,39.788,0.313,0.931,52.1185042268539,1.328,0.2053,5.46858256210424,0.154593373493976,1.51,0.31,161.277145224764,105,3.03,1.94,19719.1023567459,40.41,-30.38,13.3366336633663,0.2409,12.5778331257783,8.804767863,1.51826122763883,21,3.780718336,20.4633204633208,203.4549,0.0598899313803698,0.765869979046953,0.126956883319104,0.0472832062535727,260,288,0.2134,0.25765,0.1095,0.58055,0.02915,0.0548,0.0172,0.10115,6.32075471698113,3.70164233576642,5.36627906976744,4.73949579831933,0.531934306569343,0.288185862580326,0.541769649036085,0.170044488383589,3,0.9,1.15,3.61283155162826,7.15,22.462387473167,40.151517608286,1.03868907109313,39.1128285371929,11,3.0447032591493,37.65595463138,0.974130764340555,0.0258692356594454
"HEN","H_agrestis",32.5,22.0257259210405,522.821979027682,1.16007767881405,347.91963889033,18.9864233432692,-1.5170432390024,-36.009870972204,34.371,38.836,0.286,0.896,42.1285385935818,1.0463,0.1448,6.22582872928177,0.138392430469273,0.77,0.29,140.056468221506,106.5,3.23,2.52,16186.4389791852,40.97,-30.33,12.6842105263158,0.3215,10.0466562986003,9.315247966,1.90991420868637,54,5.040322581,17.6938369781323,160.2354,0.0506261412896276,0.775858518155164,0.120780426797075,0.0527349137581333,257,290,0.2329,0.377,0.13175,0.74165,0.0368,0.0936,0.02455,0.15495,5.32880434782609,3.02777777777778,4.36659877800407,3.7863827040981,0.393162393162393,0.237495966440787,0.60406582768635,0.158438205872862,2.5,0.8,1.4,4.39822971502571,6.4,20.1061929829747,32.1699087727595,1.539380400259,30.6305283725005,13,2.95573465742091,19.8979591836735,0.9521484375,0.0478515625
"HEN","H_agrestis",35.6,28.8020007614332,613.598024932379,2.23342123634189,356.637248077538,12.8959106740687,-1.16976452381199,-25.9329167281074,48.914,49.475,0.251,0.862,46.9395265159259,1.5652,0.2296,5.81707317073171,0.146690518783542,1.16,0.27,163.39921292509,83.5,3.43,1.61,17889.1552458419,42.18,-30.84,12.2973760932945,0.3163,10.8441353145748,8.528001605,3.92440093286623,80,5.675146771,15.3241650294689,278.2928,0.040039842928024,0.81475338204941,0.112902669418684,0.032304105603882,262,296,0.265839006732535,0.36376080599969,0.137242415835737,0.766842228567962,0.038945993153137,0.0789543892225614,0.0225240037515811,0.14042438612728,5.8265599454835,3.5732479521669,5.08785674128492,4.44044824760122,0.511601252134899,0.281086527995955,0.560358318714642,0.158555152117833,2.69343345174961,0.955043897851728,1.28884551872885,4.04902761325069,6.67571242222806,20.9723691031498,35.5670093720638,1.3358116082619,34.2311977638019,12.816898386395,3.21315484637145,27.3468488234356,0.961055083617459,0.0389449152109714
"HEN","H_agrestis",36.5,30.2712247824397,618.336235166742,1.12724748936087,333.444482427978,26.8541070777659,-1.14700305779455,-27.0271992778228,37.258,39.836,0.295,0.94,48.9559289280155,1.206,0.1824,5.61184210526316,0.151243781094527,1.34,0.32,135.812332820854,78,4.06,1.47,15229.9565312005,41.55,-28.86,10.2339901477833,0.3072,13.2161458333333,7.368138963,4.05933648083744,27,4.049295775,18.6792452830189,220.8901,0.0825754526798621,0.797138486514334,0.0888224506213723,0.0314636101844311,269,313,0.3851,0.5094,0.1763,1.0708,0.04865,0.0942,0.0222,0.16505,6.91572456320658,4.40764331210191,6.94144144144144,5.48773099060891,0.516454352441614,0.29475916388973,0.570736140563466,0.134504695546804,2.5,1.1,1.6,5.02654824574367,6.6,20.7345115136926,34.2119439975928,2.01061929829747,32.2013246992954,13,2.5862678252433,16.015625,0.941230486685032,0.0587695133149679
"HEN","H_agrestis",35.1,27.6873759567602,494.924111786056,1.49785064534856,346.84853907681,18.4847374754892,-1.12192279807193,-26.0345785334227,35.304,38.168,0.305,0.929,55.9426693859053,1.2817,0.1975,5.48962025316456,0.154092221268628,1.14,0.36,148.544739022809,114.5,2.55,2.03,19408.7886974924,38.32,-30.33,15.0274509803922,0.2021,12.6175160811479,7.940160385,2.54030309002519,36,3.703703704,23.1683168316821,184.8806,0.0798926442255164,0.702020655493329,0.161509644603057,0.0565770556780971,260,313,0.1662,0.4064,0.13865,0.71125,0.02295,0.0894,0.0205,0.13285,6.24183006535948,3.54586129753915,5.76341463414634,4.35378246142266,0.256711409395973,0.172751223184042,0.672939405344373,0.154309371471584,2.15,0.8,1.4,4.39822971502571,5.7,17.9070781254618,25.5175863287831,1.539380400259,23.9782059285241,14.5,3.2967809640464,15.5765306122449,0.939673745767929,0.0603262542320714
"SCW","H_agrestis",33.9,31.5638530111374,688.902418895784,2.07118947944492,353.850262820386,15.2394811408546,-0.788610933684767,-17.2119664728955,32.302,36.211,0.31,0.915,45.8175964336574,1.0155,0.148,5.86148648648649,0.14574101427868,0.96,0.32,144.300603622157,86.5,2.95,2.36,23352.6243693486,40.44,-31.05,13.7084745762712,0.268,11.0074626865672,7.462134463,0.574033571567986,48,3.118908382,17.1656686626753,175.6135,0.0427558245806843,0.754013785956091,0.139966460437267,0.0632639290259576,248,275,0.3173,0.31725,0.10415,0.7387,0.04155,0.07865,0.01655,0.13675,6.63658243080626,3.03369357914812,5.29305135951662,4.4018281535649,0.528289891926256,0.303839122486289,0.575137111517367,0.121023765996344,3,1,1.15,3.61283155162826,7.15,22.462387473167,40.151517608286,1.03868907109313,39.1128285371929,13,3.59828566990372,37.65595463138,0.974130764340555,0.0258692356594454
"SCW","H_agrestis",31.8,34.3006828679453,795.45890627138,1.38453446838717,335.20767454535,24.7741631942914,-1.11599548538921,-25.8807835292719,46.683,38.956,0.387,0.94,43.1206220679905,1.5365,0.2013,6.63288623944362,0.131012040351448,1.42,0.33,174.009551426719,87.5,3.57,1.9,22281.7620804308,41.82,-31.03,11.7142857142857,0.320233688750598,12.1162025476407,7.47251944500795,2.82555175750142,83,4.038004751,17.744562110321,149.7492,0.0491435012674525,0.725479668672688,0.159333071562319,0.0660437584975412,248,282,0.2527,0.25395,0.06745,0.5741,0.03805,0.06095,0.01215,0.11115,5.64126149802891,3.16652994257588,4.55144032921811,4.1650922177238,0.62428219852338,0.342330184435448,0.548358074673864,0.109311740890688,2.6,1.15,1.25,3.92699081698724,6.45,20.2632726156542,32.6745270927423,1.22718463030851,31.4473424624338,10,2.54647908947033,25.6256,0.962442160927829,0.0375578390721711
"SCW","H_agrestis",29.7,31.2432028568134,753.50262533836,1.44335534515777,341.318265892621,21.6462307508886,-1.74598573291061,-42.108513636737,35.766,36.2,0.343,0.91,41.4639601856512,1.1342,0.1483,6.64801078894134,0.1307529536237,1.15,0.3,159.155077524438,90,3.53,1.55,21345.6834373473,42.63,-30.78,12.0764872521246,0.4755,7.42376445846477,5.922624517,0.885286823573038,86,2.579365079,12.734082397004,131.5639,0.0422501917319265,0.762139158234136,0.126035333400728,0.0695753166332102,248,275,0.26255,0.32885,0.1312,0.7226,0.0427,0.07275,0.02335,0.1388,5.14871194379391,3.52027491408935,4.61884368308351,4.20605187319885,0.586941580756014,0.307636887608069,0.524135446685879,0.168227665706052,2.5,1.25,1.25,3.92699081698724,6.25,19.6349540849362,30.6796157577128,1.22718463030851,29.4524311274043,9.5,2.41915513499681,24,0.96,0.04
