"Traits","Population","Species","Residuals"
"LTD",0,85.0512538395881,14.9487461604119
"FPFM",8.87313641028458,73.5050365012903,17.6218270884251
"FPDM",10.69857648809,68.9684271312116,20.3329963806984
"FAIR",5.29071506934756,68.1632236198872,26.5460613107653
"FDD",7.83789718444418,67.9307767773126,24.2313260382432
"FDC",7.83789718480328,67.9307767762704,24.2313260389263
"FTFM",13.5549165263176,67.313273800082,19.1318096736004
"FTDM",14.9465546783752,65.7793667518636,19.2740785697612
"WPRMF",13.3947147177683,65.1385030559682,21.4667822262635
"FRW",9.13231042779829,64.8691000023372,25.9985895698645
"FTC",11.6295177239497,64.0827416029718,24.2877406730786
"FTD",11.6295177247737,64.0827415950555,24.2877406801707
"FDFM",14.4918920789144,63.5638009969282,21.9443069241574
"LA",9.55328222815623,62.3376746098729,28.1090431619709
"FDDM",15.9223136361185,61.7293868898574,22.3482994740241
"FRDM",12.6774467132835,61.4569793213066,25.8655739654099
"L_NightRespArea",0,60.5382664993782,39.4617335006218
"FRFM",12.9297344918508,60.3251988556091,26.7450666525401
"FDA",10.1417435032657,59.5023463094998,30.3559101872345
"FRL",12.1232006980685,58.4797194731646,29.397079828767
"L_Tough",0,57.7193310069739,42.2806689930261
"FTA",12.6023133987769,57.2581074754228,30.1395791258004
"FPA",12.6237409481898,56.0148176762499,31.3614413755603
"L_DryMass",12.7097321867603,55.2141680892477,32.076099723992
"WPTB",22.8901632760506,55.1776672071908,21.9321695167585
"L_LaminaT",9.11854845322048,53.2807758965222,37.6006756502574
"P_D",5.27752127521345,50.6072930598146,44.115185664972
"P_T",7.44089937551708,50.5316059629019,42.027494661581
"LD13C",0.803940683212634,48.7076616752143,50.4883976415731
"LMA",12.4270421089701,47.3681197295513,40.2048381614786
"L_Aarea",0,47.0860982359377,52.9139017640623
"FDAF",5.33623470218245,46.8799662462898,47.7837990515277
"FPAF",5.33623462795824,46.879965935765,47.7837994362768
"L_FreshMass",16.9218679916505,45.1925169348527,37.8856150734967
"L_Peri",13.9218509445709,44.4640874607893,41.6140615946398
"FRN",3.70220949472247,43.6508675778313,52.6469229274462
"L_LipidC",9.28508223445568,41.6426854071632,49.0722323583811
"LD15N",1.1876317727935,40.7918159005131,58.0205523266934
"L_NightRespmass",0,40.5305416681501,59.4694583318499
"FPD",18.5396192682188,40.4123095421562,41.0480711896249
"WPBMF",2.10134680000337,39.8815008436491,58.0171523563475
"L_life",5.61618849997886,39.2139473087966,55.1698641912245
"WPLMF",0,36.4288168775099,63.5711831224901
"L_Con",0,31.8346223296353,68.1653776703647
"WPFB",38.757495879965,29.652848319308,31.589655800727
"WPFF",37.4819556673722,29.0787155886539,33.4393287439739
"L_Circ",0,27.1412224132627,72.8587775867373
"LCN",0,26.4470417670684,73.5529582329316
"LN",0,24.1787346492432,75.8212653507568
"L_MidribT",23.1833679544843,23.1666596550557,53.64997239046
"D_T",1.34420770614906,22.2653017781667,76.3904905156842
"LS",0,21.5442667396284,78.4557332603716
"FTWC",5.17533421307063,20.1197397822706,74.7049260046587
"L_Ci",1.15036820160823,20.003484990945,78.8461468074467
"LC",15.9069516395261,19.5885885754034,64.5044597850704
"L_iWUE",0,18.4020249093986,81.5979750906014
"L_AshC",16.9911075469906,18.2470398578648,64.7618525951445
"L_Amass",8.37813565598742,16.3630133927156,75.258850951297
"WPSMF",9.57862283749546,15.971618420795,74.4497587417096
"LPNUE",2.6818303874733,15.1637005273503,82.1544690851764
"FPWC",3.19640283593887,13.1663731315102,83.6372240325509
"Leaf_N_P",7.02306418116257,12.6359769165577,80.3409589022797
"LWC",6.85074038418797,11.5624952758961,81.5867643399159
"L_T_activity",0,11.1186447816981,88.8813552183019
"R_T",1.71968440069117,10.7534311518731,87.5268844474357
"FDWC",0,8.67834125005085,91.3216587499492
"LDMC",7.657695202977,6.50407604219842,85.8382287548246
"FRWC",4.53971000923426,6.20865727309528,89.2516327176705
"LP",0,4.15899482191578,95.8410051780842
"L_VeinD",24.2123688645249,0.0000000138404887112513,75.7876311216346
