"Traits","Population","Species","Residuals"
"L_Circ",1.06427814114224,92.603135611204,6.33258624765372
"FDAF",0,84.3415117628659,15.6584882371341
"FPAF",0,84.3415116175112,15.6584883824888
"LWC",3.68586534741368,75.6087979007534,20.7053367518329
"FPD",0.0581810843491036,73.2484969956614,26.6933219199895
"LDMC",3.52886881107738,72.9404979072526,23.53063328167
"WPFB",4.74999985262464,72.0608667013223,23.189133446053
"FDA",3.19176712317178,71.2155052532911,25.5927276235371
"FRW",2.03185941078669,68.9797331314795,28.9884074577338
"FRL",1.07075563703666,68.7866365206535,30.1426078423098
"FRN",2.97395910984366,68.4206168235356,28.6054240666207
"FDD",4.4108867735627,68.3609311806058,27.2281820458315
"FDC",4.41088677352189,68.3609311802017,27.2281820462764
"LC",0.76984897812638,67.3564110652435,31.8737399566301
"FRWC",4.65079527716601,66.2283991463573,29.1208055764766
"P_T",4.74329578330948,65.6444073741896,29.6122968425009
"FTC",2.16923912424735,62.3098968352487,35.5208640405039
"FTD",2.16923912464854,62.30989683225,35.5208640431014
"FRFM",1.96969711041862,61.3070039832065,36.7232989063749
"WPLMF",1.58947663578165,60.6500610596098,37.7604623046085
"WPTB",1.286190434105,59.9819455135694,38.7318640523256
"WPFF",5.89672951309425,59.1476861549766,34.9555843319291
"FDFM",9.80785693477772,58.3780499684476,31.8140930967747
"LTD",18.7750778178993,57.7404860220385,23.4844361600622
"LS",12.8178382875627,56.1139091822368,31.0682525302005
"LD13C",0.150495949153071,55.5740227706064,44.2754812802406
"FRDM",0.747245251401166,54.23104136962,45.0217133789788
"FTFM",7.81720754533963,53.7116346205321,38.4711578341283
"FDDM",4.92096752509653,53.445546389808,41.6334860850954
"L_T_activity",7.40456176662916,53.0183558074344,39.5770824259365
"LA",5.74878541059872,52.3051262713397,41.9460883180616
"FPA",3.94787440517581,52.0061314335809,44.0459941612433
"L_LaminaT",14.1335380442479,51.8216966845766,34.0447652711755
"LN",1.91006094735105,51.0167610144738,47.0731780381752
"FPFM",3.81951416285275,50.7614650292311,45.4190208079162
"L_AshC",2.31394039681414,50.6715449794293,47.0145146237566
"FTA",4.28695336547909,49.6419544390243,46.0710921954966
"FPDM",2.98669662242693,49.2589082796847,47.7543950978884
"FTWC",8.5770102433152,49.0646558652716,42.3583338914132
"R_T",2.42811819605047,47.3048208866248,50.2670609173247
"FTDM",4.18398939584216,47.2262159148888,48.589794689269
"P_D",8.67963009466844,46.5338924160842,44.7864774892473
"D_T",7.77084247206452,46.0694084308324,46.1597490971031
"L_MidribT",8.44728102893622,45.9437537560274,45.6089652150364
"L_FreshMass",7.68955338394283,44.8902286590676,47.4202179569896
"WPSMF",5.62310476547534,44.5376991986863,49.8391960358384
"L_DryMass",8.96958835996919,41.7795498927039,49.2508617473269
"LD15N",2.16762710922399,41.6641474573718,56.1682254334043
"L_NightRespArea",2.31211996505647,41.1902906630103,56.4975893719332
"LMA",8.57600983354313,37.7187721717869,53.70521799467
"L_iWUE",5.64750398830703,34.8461112882844,59.5063847234086
"LCN",3.35023708483219,34.3880955211081,62.2616673940597
"FAIR",14.3488559636298,33.7437511967398,51.9073928396304
"L_Ci",7.27253986306753,33.6023982362794,59.125061900653
"L_Peri",23.6235457118895,32.4146107362141,43.9618435518964
"L_VeinD",3.68639404719484,30.378923231894,65.9346827209112
"LPNUE",7.61050153170802,27.3895055947999,64.9999928734921
"L_Tough",4.646296202626,26.5327132696672,68.8209905277068
"FDWC",6.00214383606613,26.3955352905142,67.6023208734196
"WPBMF",11.2594163145741,26.3842562892741,62.3563273961517
"L_LipidC",16.2008682899065,25.9653917700821,57.8337399400114
"WPRMF",16.6290383507392,24.8627199265419,58.5082417227189
"L_NightRespmass",3.16399191732588,24.5407779331123,72.2952301495618
"LP",15.5857178561722,20.9528381296762,63.4614440141516
"L_Amass",0.000000344385749763922,20.1532215390899,79.8467781165243
"L_Con",1.89064616060983,16.987331905009,81.1220219343812
"L_Aarea",0,16.7056511419233,83.2943488580767
"L_life",3.78737462882333,16.0737600489046,80.1388653222721
"FPWC",6.62053951405402,15.5442840768069,77.8351764091391
"Leaf_N_P",11.19524090034,11.4496381687038,77.3551209309563
