"Species","SPAD","L_Aarea","L_Amass","L_Con","L_Ci","L_iWUE","L_NightRespArea","L_NightRespmass","LA","L_Peri","L_Circ","LS","LMA","L_FreshMass","L_DryMass","LWC","LDMC","L_MidribT","L_LaminaT","L_Tough","L_life","LN","LD15N","LPNUE","LC","LD13C","LCN","LP","Leaf_N_P","L_VeinD","L_T_activity","LTD","L_LipidC","L_AshC","WPTB","WPBMF","WPSMF","WPLMF","WPRMF","WPFB","WPFF","FPFM","FDFM","FRFM","FTFM","FPDM","FDDM","FRDM","FTDM","FPWC","FDWC","FRWC","FTWC","P_D","P_T","D_T","R_T","FRL","FRW","FDD","FDC","FTD","FTC","FTA","FDA","FPA","FRN","FPD","FAIR","FPAF","FDAF"
"H_agrestis",33.9,27.415575705898,641.015412729737,1.83190877150057,356.397471432519,14.9655791447743,-0.988281362676759,-23.1074332483583,41.806,39.206,0.342,0.935,42.7689805291107,1.2935,0.1788,6.23434004474273,0.138229609586393,1.06,0.33,157.033009824112,75,3.33,2.19,19249.7120939861,40.15,-31.05,12.0570570570571,0.2622,12.7002288329519,7.384277569,0.209613625755427,40,4.238921002,20.359281437126,223.7688,0.0278805624376589,0.773432221113935,0.151540339850775,0.0471468765976311,260,296,0.2905,0.299,0.10665,0.69615,0.0432,0.0756,0.02085,0.13965,5.72453703703704,2.95502645502645,4.11510791366906,3.98496240601504,0.571428571428572,0.309344790547798,0.541353383458647,0.149301825993555,2.85,1.1,1.2,3.76991118430775,6.9,21.6769893097696,37.3928065593525,1.13097335529233,36.2618332040602,13,3.4483571003244,32.0625,0.969754253308128,0.0302457466918715
"H_agrestis",40.4,28.583700349434,596.88245008065,1.65176648386966,349.344560483375,17.3049281654328,-0.997101931848696,-20.8213994964366,36.606,38.49,0.311,0.893,47.8883243184177,1.249,0.1753,6.124928693668,0.14035228182546,0.89,0.35,148.544739022809,127,3.29,1.88,18142.3237106581,38.81,-30.57,11.7963525835866,0.2479,13.2714804356595,6.556163398,0.426646910491196,37,2.857142857,23.2600732600741,444.3504,0.0393891847514934,0.86321740680328,0.0595917096057526,0.0378016988394744,267,307,0.2145,0.3205,0.1255,0.6605,0.03495,0.08145,0.02325,0.13965,5.13733905579399,2.93492940454266,4.39784946236559,3.7296813462227,0.429097605893186,0.250268528464017,0.583243823845328,0.166487647690655,2.25,0.85,1.45,4.5553093477052,5.95,18.6924762888593,27.8050584796782,1.65129963854314,26.153758841135,13,2.85381277268226,15.8382877526754,0.94061153873314,0.0593884612668597
"H_agrestis",42.6,31.3410645748927,594.6749126977,1.65939868184984,347.366936122952,18.8870010068676,-1.06884007504815,-23.9825851919187,53.906,47.876,0.296,0.905,52.7028531146811,1.8486,0.2841,5.50686378035903,0.153683868873742,1.16,0.38,150.666806723135,104.5,2.81,1.69,21162.808281057,37.92,-30.81,13.4946619217082,0.2761,10.17747193046,4.25559579,1.28232345240003,33,3.392857143,21.9315895372224,207.5036,0.0384658386649677,0.779754182578037,0.124768919671755,0.05701105908524,267,313,0.286199447329326,0.416930640150776,0.164922741607724,0.868052829087827,0.0424789390935107,0.088668616164366,0.0279054401363163,0.159052995394193,5.75116394022583,3.60216719772636,4.90780106656008,4.40721155634605,0.514964498581854,0.278694447093007,0.552621173431615,0.168684378213436,2.74074914238177,0.995271856210455,1.32041826352338,4.14821631635085,6.80191654828693,21.3688510584291,36.9213549090616,1.42214303620321,35.4992118728584,13.191560293948,3.23364377686806,27.3679155663782,0.960462432248466,0.039537566489592
"H_agrestis",38.4,28.6767077601139,626.332056236741,1.5235663703683,346.219417934443,18.8220928985075,-1.09360242537859,-24.9148841925988,48.946,44.064,0.317,0.913,45.7851509827156,1.6029,0.2241,6.15261044176707,0.139809096013476,1.02,0.38,140.056468221506,114.5,3.13,1.96,20010.608825455,39.37,-31.18,12.5782747603834,0.2502,12.5099920063949,6.789869953,1.1293714241404,33,1.724137931,21.1428571428568,199.5312,0.0562879389288492,0.784839664172821,0.11431796130129,0.0445544355970395,267,307,0.286231074332377,0.426521921357569,0.166927566342556,0.879680562032502,0.0427022786049693,0.0908851005329231,0.0288548180068766,0.162442197144769,5.74156391970232,3.61874266090689,4.83999273741252,4.39477771003677,0.504094172734272,0.274344429597463,0.555798397248031,0.169857171904973,2.76753540319657,0.984967319353954,1.33483214679414,4.19349886614395,6.86990295318728,21.582436648608,37.9137672728172,1.45246294683041,36.4613043259868,13.1002160059545,3.19073002960223,27.0923824878447,0.960353973712866,0.0396460250376007
"H_agrestis",33.5,26.4390474099894,504.773693237962,1.37578270223853,346.235704367613,19.2174588086988,-1.0820042814767,-24.2633107269386,47.119,41.487,0.344,0.917,52.3780216048728,1.549,0.2468,5.27633711507293,0.159328599096191,1.44,0.33,188.864025329,118.5,2.81,1.59,17963.4766276855,40.82,-30.8,14.5266903914591,0.255,11.0196078431373,7.554628712,1.78596006051483,53,3.639514731,17.7777777777776,397.7761,0.037831081354561,0.814875001288413,0.11561780609745,0.0316761112595754,267,313,0.25785,0.2555,0.1072,0.62055,0.0388,0.05075,0.01935,0.1089,5.64561855670103,4.03448275862069,4.54005167958656,4.69834710743802,0.764532019704434,0.356290174471993,0.466023875114784,0.177685950413223,2.55,0.95,1.15,3.61283155162826,6.25,19.6349540849362,30.6796157577128,1.03868907109313,29.6409266866197,13,3.59828566990372,28.5368620037807,0.966144,0.033856
"H_agrestis",31.6,30.4086844357518,633.16141569336,1.87742289657121,351.411739582805,16.1970350373845,-1.02333993484266,-21.3077077783325,39.478,38.422,0.336,0.926,48.0267490754344,1.2674,0.1896,5.68459915611814,0.14959760138867,1.01,0.32,169.765416026067,112,2.83,2.1,22373.1949008254,40.6,-30.52,14.3462897526502,0.2797,10.1179835538077,8.097197129,2.40435714889458,30,5.688073394,20.1596806387232,187.1546,0.0541306492065918,0.783843945059325,0.111532390868298,0.0504930148657848,260,296,0.22805,0.35735,0.14035,0.72575,0.0364,0.08585,0.0229,0.14515,5.26510989010989,3.16249271986022,5.12882096069869,4,0.423995340710542,0.250775060282466,0.591457113331037,0.157767826386497,2.6,0.85,1.25,3.92699081698724,6.45,20.2632726156542,32.6745270927423,1.22718463030851,31.4473424624338,13,3.31042281631142,25.6256,0.962442160927829,0.0375578390721711
"H_agrestis",33.7,31.1402226217538,597.488801409402,2.30196447574944,356.607889991032,13.5276729722841,-1.09891350450016,-21.0849010500564,39.391,39.788,0.313,0.931,52.1185042268539,1.328,0.2053,5.46858256210424,0.154593373493976,1.51,0.31,161.277145224764,105,3.03,1.94,19719.1023567459,40.41,-30.38,13.3366336633663,0.2409,12.5778331257783,8.804767863,1.51826122763883,21,3.780718336,20.4633204633208,203.4549,0.0598899313803698,0.765869979046953,0.126956883319104,0.0472832062535727,260,288,0.2134,0.25765,0.1095,0.58055,0.02915,0.0548,0.0172,0.10115,6.32075471698113,3.70164233576642,5.36627906976744,4.73949579831933,0.531934306569343,0.288185862580326,0.541769649036085,0.170044488383589,3,0.9,1.15,3.61283155162826,7.15,22.462387473167,40.151517608286,1.03868907109313,39.1128285371929,11,3.0447032591493,37.65595463138,0.974130764340555,0.0258692356594454
"H_agrestis",35.6,28.8020007614332,613.598024932379,2.23342123634189,356.637248077538,12.8959106740687,-1.11350975060818,-25.0838817655107,48.914,49.475,0.251,0.862,46.9395265159259,1.5652,0.2296,5.81707317073171,0.146690518783542,1.16,0.27,163.39921292509,83.5,3.43,1.61,17889.1552458419,42.18,-30.84,12.2973760932945,0.3163,10.8441353145748,8.528001605,3.92440093286623,80,5.675146771,15.3241650294689,278.2928,0.040039842928024,0.81475338204941,0.112902669418684,0.032304105603882,262,296,0.283671447497137,0.402285601063137,0.159547103512525,0.845504152072799,0.0415697862512374,0.0863896108007693,0.0272024900104752,0.155161887062482,5.85055451388851,3.58646086416953,4.89345391888458,4.41703331532095,0.515221415914429,0.279127014323365,0.551512456100243,0.169360528128718,2.74931910952269,0.994821697338916,1.3056052658376,4.10167991164357,6.80424348488298,21.3761613453446,36.9584009031536,1.38349787372744,35.5749030294262,13.0845954742024,3.24824761819782,27.7948145250233,0.96152091756715,0.0384790809851771
"H_agrestis",35.1,27.6873759567602,494.924111786056,1.49785064534856,346.84853907681,18.4847374754892,-1.07408137744404,-24.663904359236,35.304,38.168,0.305,0.929,55.9426693859053,1.2817,0.1975,5.48962025316456,0.154092221268628,1.14,0.36,148.544739022809,114.5,2.55,2.03,19408.7886974924,38.32,-30.33,15.0274509803922,0.2021,12.6175160811479,7.940160385,2.54030309002519,36,3.703703704,23.1683168316821,184.8806,0.0798926442255164,0.702020655493329,0.161509644603057,0.0565770556780971,260,313,0.1662,0.4064,0.13865,0.71125,0.02295,0.0894,0.0205,0.13285,6.24183006535948,3.54586129753915,5.76341463414634,4.35378246142266,0.256711409395973,0.172751223184042,0.672939405344373,0.154309371471584,2.15,0.8,1.4,4.39822971502571,5.7,17.9070781254618,25.5175863287831,1.539380400259,23.9782059285241,14.5,3.2967809640464,15.5765306122449,0.939673745767929,0.0603262542320714
"H_agrestis",33.9,31.5638530111374,688.902418895784,2.07118947944492,353.850262820386,15.2394811408546,-0.788610933684767,-17.2119664728955,32.302,36.211,0.31,0.915,45.8175964336574,1.0155,0.148,5.86148648648649,0.14574101427868,0.96,0.32,144.300603622157,86.5,2.95,2.36,23352.6243693486,40.44,-31.05,13.7084745762712,0.268,11.0074626865672,7.462134463,0.574033571567986,48,3.118908382,17.1656686626753,175.6135,0.0427558245806843,0.754013785956091,0.139966460437267,0.0632639290259576,248,275,0.3173,0.31725,0.10415,0.7387,0.04155,0.07865,0.01655,0.13675,6.63658243080626,3.03369357914812,5.29305135951662,4.4018281535649,0.528289891926256,0.303839122486289,0.575137111517367,0.121023765996344,3,1,1.15,3.61283155162826,7.15,22.462387473167,40.151517608286,1.03868907109313,39.1128285371929,13,3.59828566990372,37.65595463138,0.974130764340555,0.0258692356594454
"H_agrestis",31.8,34.3006828679453,795.45890627138,1.38453446838717,335.20767454535,24.7741631942914,-1.11599548538921,-25.8807835292719,46.683,38.956,0.387,0.94,43.1206220679905,1.5365,0.2013,6.63288623944362,0.131012040351448,1.42,0.33,174.009551426719,87.5,3.57,1.9,22281.7620804308,41.82,-31.03,11.7142857142857,0.319139318820119,12.6419135652719,7.54954042436304,2.82555175750142,83,4.038004751,17.2577475529032,149.7492,0.0491435012674525,0.725479668672688,0.159333071562319,0.0660437584975412,248,282,0.2527,0.25395,0.06745,0.5741,0.03805,0.06095,0.01215,0.11115,5.64126149802891,3.16652994257588,4.55144032921811,4.1650922177238,0.62428219852338,0.342330184435448,0.548358074673864,0.109311740890688,2.6,1.15,1.25,3.92699081698724,6.45,20.2632726156542,32.6745270927423,1.22718463030851,31.4473424624338,10,2.54647908947033,25.6256,0.962442160927829,0.0375578390721711
"H_agrestis",31.6,30.185092729518,669.695797622149,1.43308150409463,344.038933311401,21.0630676924323,-1.44332449284951,-32.0220433353584,31.438,31.533,0.397,0.942,45.0728417838285,1.0246,0.1417,6.23076923076923,0.138297872340426,0.89,0.36,152.788874423461,78,3,1.67,22323.1932540716,40.92,-30.77,13.64,0.2591,11.5785411038209,7.047965032,1.55055740857335,38,2.380952381,17.3258003766474,131.3662,0.029488559462023,0.756130572399902,0.146022340602073,0.0683585275360024,243,275,0.295578350815428,0.485505683400761,0.192764654070621,0.97384868828681,0.0443105973038494,0.101369667306223,0.0352543682469814,0.182001601281238,5.74157798369195,3.7503652308172,4.9640566265005,4.44775841785931,0.480327877122652,0.262015758975524,0.5584937556648,0.17949048351762,2.8417250966841,0.990501108055821,1.36021816895266,4.27325140686104,7.04366836232087,22.1283367813901,39.8706509668919,1.50527597634829,38.3653749905436,13.2520206823079,3.16943245151359,27.3823192016179,0.961100138255972,0.0388998599270742
